pm2_5,pm10,co2,voc,temperature,humidity,aqi_category,suggestion
37.11,64.04,685.19,10.0,14.64,64.58,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
32.47,41.55,781.1,122.99,22.57,49.72,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
3.04,98.98,542.93,279.07,23.93,36.52,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
22.0,107.49,780.05,249.04,32.74,50.97,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.48,5.0,862.7,174.81,24.47,82.51,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
66.43,69.23,802.42,280.28,23.91,81.85,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
48.59,109.27,864.39,406.0,32.09,62.3,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,63.47,858.44,309.12,19.91,52.94,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
48.1,95.52,350.0,231.8,17.64,59.56,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
30.37,82.29,909.22,389.21,26.19,59.75,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
23.08,81.96,582.25,106.02,20.76,54.4,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
55.29,60.5,476.04,216.26,20.95,61.61,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
65.77,27.42,473.89,219.84,30.87,58.12,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
63.28,30.75,858.39,64.46,32.38,50.26,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
19.02,94.83,694.36,187.02,31.94,37.07,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
32.27,70.68,350.0,10.0,33.54,48.1,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
48.28,65.15,869.51,536.83,34.21,66.99,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
64.39,55.16,390.1,109.39,17.36,54.53,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.02,59.32,784.96,487.92,30.25,59.5,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
35.36,106.64,809.62,255.71,25.35,50.75,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
12.34,58.27,971.39,334.73,24.26,39.11,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
10.09,23.06,1195.42,176.68,30.8,51.42,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
60.31,96.03,408.83,281.19,19.35,39.66,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
73.91,62.83,736.88,347.57,19.24,38.71,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
38.2,71.1,680.92,349.68,31.17,73.08,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
65.09,126.27,858.44,366.22,30.44,48.7,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
49.04,69.28,803.92,194.75,28.68,43.88,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
23.87,80.12,661.86,177.95,23.6,79.27,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
49.03,28.74,639.77,10.87,31.72,67.22,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
78.45,62.31,470.89,328.48,31.4,49.43,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
39.1,91.33,996.97,412.36,28.43,61.41,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
79.12,15.56,864.8,492.4,22.11,51.46,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,77.03,979.44,295.78,25.87,44.61,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
60.55,73.53,672.4,135.03,32.19,62.12,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
42.18,71.45,585.79,10.0,34.64,50.14,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
32.52,106.3,480.42,406.25,26.37,56.13,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
42.29,81.71,839.73,10.0,26.75,70.32,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,121.73,490.05,198.91,27.19,68.67,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
34.51,35.22,1212.17,216.35,29.37,46.75,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
48.93,74.76,423.09,239.58,25.09,62.29,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
76.95,72.96,818.42,255.37,13.53,38.08,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
27.04,32.58,1141.71,270.72,33.96,61.76,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
19.79,103.47,899.77,10.0,36.97,57.23,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
27.46,151.36,793.92,252.2,24.94,60.68,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
62.89,69.4,507.88,10.0,22.67,50.54,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
48.22,87.68,404.56,359.83,27.31,86.26,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
26.76,72.96,942.51,166.73,27.06,41.48,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
52.83,45.02,1126.54,10.0,32.98,69.57,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
42.43,6.27,640.29,127.87,28.27,39.52,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
64.22,45.3,465.23,164.49,24.04,62.57,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
22.45,21.28,350.0,428.6,21.41,63.64,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
31.81,129.64,504.81,279.5,32.33,55.82,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
30.2,65.97,721.59,301.67,31.0,47.57,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
3.41,57.89,1149.78,427.18,33.3,57.12,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
47.4,101.12,918.28,235.58,23.16,59.01,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
46.53,30.74,826.27,363.13,37.19,81.85,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
40.13,43.16,649.97,352.58,19.28,41.91,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
34.14,72.38,604.21,57.03,31.55,46.66,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
4.62,106.01,1101.41,470.95,18.45,59.27,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
29.48,87.56,800.18,36.95,24.05,51.16,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
31.43,78.69,350.0,387.6,35.81,53.5,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
19.94,72.73,581.62,22.44,32.16,71.06,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
35.97,84.01,535.45,340.19,25.27,15.0,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
50.1,77.06,613.43,529.29,25.41,46.03,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
87.15,33.95,890.73,218.05,28.5,28.86,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
44.36,71.61,723.14,211.55,30.57,37.06,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
46.44,32.42,730.78,341.57,34.26,91.07,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
38.14,72.84,1078.37,200.59,25.72,63.97,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,53.18,575.88,522.74,19.94,69.27,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
39.34,158.88,1216.05,278.83,28.78,53.79,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
41.51,68.6,582.17,201.97,25.71,66.38,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
101.58,20.85,772.3,168.96,21.5,28.5,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
35.19,65.3,679.7,110.06,29.49,70.57,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
47.54,88.18,780.85,155.84,26.93,42.7,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
39.13,128.57,861.15,197.4,29.53,47.03,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
10.78,49.37,858.46,176.85,23.53,62.58,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
68.57,14.62,561.72,151.27,30.43,59.75,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
58.8,98.59,469.27,564.83,21.41,56.27,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
59.78,21.68,1375.79,95.49,23.86,34.55,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
17.27,54.73,629.0,271.99,26.79,56.5,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
75.07,60.98,924.8,338.88,36.71,69.41,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
4.95,67.56,350.0,344.52,31.92,47.01,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
54.67,94.12,680.1,241.21,33.39,74.72,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
94.76,46.07,718.2,213.89,35.09,41.91,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
15.24,60.42,868.2,317.73,45.0,55.1,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
25.84,69.5,350.0,289.98,28.21,78.03,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
42.49,75.24,791.54,211.16,35.1,44.78,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
27.41,73.42,462.56,15.72,33.06,70.81,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,85.26,831.09,179.81,32.98,84.62,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
41.71,99.53,490.92,78.02,36.87,57.57,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
13.44,83.74,536.13,149.93,25.9,47.09,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
51.84,85.88,681.59,254.98,25.51,43.41,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
17.01,14.62,486.92,303.81,29.6,74.57,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
78.75,71.76,631.12,517.07,27.09,74.15,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
20.42,86.78,451.66,169.39,29.59,76.74,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
31.95,95.51,350.0,366.19,35.81,54.51,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
60.34,45.77,1004.49,295.89,25.61,70.57,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
9.23,46.93,425.99,444.4,26.48,54.27,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
45.69,49.91,705.33,336.43,28.87,41.75,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
72.68,88.77,938.22,98.73,26.86,71.86,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,106.19,596.26,10.0,18.43,79.51,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
44.62,55.74,543.71,296.69,25.1,39.69,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
46.5,101.78,806.56,170.73,31.44,39.41,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
59.55,74.32,1029.48,102.95,35.19,55.6,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
9.08,65.65,457.67,59.86,22.23,69.34,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
6.99,62.6,712.46,274.15,22.2,37.99,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
53.05,96.13,350.0,476.16,28.15,58.41,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
47.42,81.4,651.7,188.7,17.62,46.14,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
46.26,149.65,758.55,338.54,25.78,65.51,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
48.66,40.17,536.34,234.66,19.32,43.03,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
23.0,88.13,635.75,56.59,34.85,66.58,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
45.81,51.48,397.94,360.22,24.15,52.63,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
47.33,39.57,769.27,85.8,36.26,40.94,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
22.14,69.62,1013.92,253.24,33.57,55.96,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
86.64,74.81,475.71,198.77,24.77,25.93,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
51.85,172.14,594.33,383.96,22.64,46.61,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
10.22,63.55,875.64,91.28,27.03,60.06,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
56.41,30.44,1053.02,308.63,27.48,28.42,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
15.63,79.56,376.7,124.03,29.73,16.43,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
59.68,5.0,707.8,173.33,24.12,19.91,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
68.96,66.78,820.78,10.0,31.73,74.91,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
19.48,70.56,724.49,563.81,29.33,53.85,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
64.08,97.81,350.0,332.58,26.3,47.01,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
50.32,104.08,875.27,134.9,24.44,69.18,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
60.55,52.38,1129.83,81.3,27.08,48.93,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
87.42,64.73,779.17,175.65,23.92,59.03,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
33.87,43.19,492.22,357.53,28.29,55.39,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
21.16,30.52,621.72,10.0,28.43,47.94,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
17.76,80.85,1192.48,228.76,29.31,59.41,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
19.6,25.42,977.49,515.6,36.83,66.6,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
38.07,55.49,910.01,79.91,27.34,52.23,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
48.53,35.17,839.1,262.06,33.02,48.09,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
46.92,89.24,584.72,580.5,29.15,49.86,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
60.68,133.05,699.86,344.82,26.81,20.53,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
40.33,24.44,730.52,268.89,27.4,59.25,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
76.34,5.14,887.39,326.0,27.71,36.86,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
33.38,65.63,1127.23,189.87,29.4,64.45,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
108.0,70.55,1029.58,444.94,23.2,53.64,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
55.64,77.65,395.15,190.1,20.67,56.58,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
18.57,54.38,806.0,10.0,31.27,65.5,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
13.23,62.98,934.19,191.3,32.49,41.1,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
52.06,82.86,904.72,104.99,31.73,60.54,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
34.41,106.42,592.69,207.82,28.77,59.01,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
57.85,5.0,1478.53,211.14,31.84,52.23,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
51.83,57.09,430.73,429.61,31.57,41.08,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
38.18,77.48,479.2,354.29,31.94,63.93,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
18.83,37.87,808.4,289.49,23.7,65.55,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.13,130.59,1279.2,249.56,22.52,56.7,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.84,47.76,540.95,91.17,26.06,38.95,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
61.41,68.55,683.54,10.0,27.91,47.09,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
45.35,89.46,1019.32,266.97,26.79,54.1,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
8.86,49.31,745.53,369.2,18.62,65.33,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
44.33,5.37,666.35,233.75,36.61,31.25,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
49.63,55.0,891.41,169.77,26.63,46.54,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
17.9,106.03,818.13,319.68,28.86,48.96,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
43.84,58.21,1007.61,237.5,34.22,53.75,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
41.46,40.37,1072.87,502.86,16.28,35.48,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
11.43,102.4,826.75,434.91,25.44,51.74,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
48.94,58.42,822.93,393.93,26.06,50.34,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
54.02,52.14,803.53,363.66,26.32,39.44,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
67.08,75.23,872.28,56.47,27.13,53.23,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
66.35,96.98,763.79,349.45,35.24,46.88,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
5.56,153.36,749.85,306.45,31.37,62.43,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
16.55,98.95,1049.16,340.96,32.79,41.72,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
52.88,110.59,1129.03,323.89,28.24,56.35,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
52.84,52.29,373.11,317.91,21.0,42.87,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
52.88,34.09,752.51,655.13,17.6,46.0,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
136.32,72.18,577.83,238.57,20.35,59.46,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
54.27,73.75,672.26,390.45,29.8,58.52,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
68.39,32.25,850.63,179.35,28.16,48.74,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
63.85,63.86,917.36,368.6,26.95,50.96,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
56.28,83.98,721.97,390.9,26.16,33.2,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
32.12,82.61,350.0,304.66,38.06,76.04,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
58.97,87.65,508.74,500.39,23.89,65.31,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
20.68,80.18,974.12,117.36,32.64,64.77,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
34.08,52.25,350.0,176.92,28.01,31.07,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
27.87,52.01,1046.86,281.86,27.7,46.07,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
42.05,28.04,880.31,382.12,33.88,49.98,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
97.87,132.47,1079.04,276.91,35.31,26.03,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
2.0,70.47,700.36,442.86,26.8,68.35,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
57.16,62.13,350.0,150.75,32.0,76.81,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,37.49,857.59,78.91,29.82,85.93,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.2,172.75,1068.66,296.22,28.04,39.31,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
67.22,32.43,981.18,238.42,29.02,56.76,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
41.61,54.99,584.33,331.43,24.56,74.84,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
13.06,84.55,771.69,245.89,26.47,51.2,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
22.12,91.01,616.79,199.0,25.1,46.5,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
56.99,103.53,545.18,238.76,32.51,27.01,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
21.74,133.27,988.85,254.33,27.52,71.99,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
45.41,87.72,450.62,204.25,21.51,54.71,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
41.14,33.04,526.55,219.53,24.38,44.06,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
23.71,61.01,473.99,189.46,12.0,59.26,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
93.6,80.77,377.44,378.5,25.53,57.3,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
55.85,142.39,786.6,279.1,28.19,57.52,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
2.0,21.08,1040.38,588.51,27.32,51.74,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
44.66,112.09,703.78,274.11,37.9,79.34,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
23.46,76.3,373.56,167.37,30.87,53.0,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
61.31,99.32,959.99,650.6,30.65,79.29,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
20.19,66.43,1171.43,312.04,19.78,63.46,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
37.13,40.51,588.44,398.52,26.18,60.27,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
52.62,96.28,630.36,338.82,25.57,53.3,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
61.64,92.91,878.92,343.45,24.07,69.61,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
9.99,104.02,1155.47,330.35,24.0,56.69,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
31.64,69.53,620.04,84.69,18.96,41.02,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.13,49.01,416.89,305.13,21.62,40.52,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
23.67,15.44,907.85,51.27,32.37,61.34,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
84.14,98.68,949.77,223.85,27.29,41.39,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
50.12,84.84,751.53,141.16,25.47,54.07,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
8.48,36.2,610.47,303.62,27.97,70.86,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
62.95,51.15,998.59,300.12,33.84,59.56,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
93.05,53.66,882.01,322.17,28.02,44.17,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
